,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925
Joannes B. Pittar,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,collegium maximum woodstockiense,collegium washingtoniense,residentia philadelphiensis ad s. josephi,residentia philadelphiensis ad s. josephi,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,collegium washingtoniense,na,na,na
Antonius Taillant,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Daniel J. Murphy,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes B. Van Der Pol,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na
Patritius J. Boyle,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Philippus J. Murphy,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na
Thomas F. Mcloughlin,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Augustinus C. Porta,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na
Robertus A. Henneman,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na
Albertus Gilbert,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Felix Weis,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Franciscus J. Suter,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Franciscus P. Sansone,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Gulielmus J. Talbot,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Henricus J. Dumbach,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Hubertus D. Gartland J. Barry,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na
Smith Joannes B. Moskopp,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na
Joannes C. Burke,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Joannes H. Lodenkamper,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Laurentius J. Kenny,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Ludovicus Taelman,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Matthaeus H. Mcmenamy,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Matthaeus Mcnerny,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na,na
Mathias J. Berchem,na,na,na,na,na,na,na,na,residentia bostoniensis ad ss. trinitatis,na,na,na,na,na,na,na,na,na,na,na,na,na
Eduardus Hamon,na,na,na,na,na,na,na,na,collegium s. crucis,na,na,na,na,na,na,na,na,na,na,na,na,na
Jacobus A. Doonan P.,na,na,na,na,na,na,na,na,na,provincial,na,na,na,na,na,na,na,na,na,na,na,na
Ronaldus Macdonald,na,na,na,na,na,na,na,na,na,collegium sancti francisci xaverii,residentia in insula keyser,na,na,na,na,na,na,na,na,na,na,na
Octo Domini,na,na,na,na,na,na,na,na,na,collegium fordhamense,na,na,na,na,na,na,na,na,na,na,na,na
Joannes Lehy,na,na,na,na,na,na,na,na,na,collegium georgiopolitanum,na,na,na,na,na,na,na,na,na,na,na,na
Joannes O'Neill,na,na,na,na,na,na,na,na,na,collegium georgiopolitanum,collegium georgiopolitanum,collegium fordhamense,collegium fordhamense,collegium fordhamense,collegium fordhamense,na,na,na,na,na,na,na
Aloisius Rocoffort,na,na,na,na,na,na,na,na,na,residentia georgiopolitana ss. trinitatis,residentia georgiopolitana ss. trinitatis,na,na,na,na,na,na,na,na,na,na,na
Gulielmus J. Judge,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus Hamilton,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Auditores Humaniorum Carolus V. Lamb,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na
Sheehy Senea,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na
Mauritius E. Prendergast Joannes H. Mulligan,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na
Josephus J. Mcloughlin,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Dionysius Lynch,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium caesariense sancti petri,residentia neo eboracensis ad s. laurentii,residentia neo eboracensis ad s. laurentii,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,domus probationis yonkersensis,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam,degentes extra provinciam
Gulielmus J. Duane,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium fordhamense,collegium fordhamense
Ferdinandus A. Rousseau,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Jeremias D. Cronin,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na
Joannes J. Maloney,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na
Georgius L. Coyle,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium georgiopolitanum,collegium georgiopolitanum
Daniel J. Quinn,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,residentia neo eboracensis kohlmann hall,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,schola loyolaea neo eboracensis,residentia neo eboracensis ss. nativitatis,residentia neo eboracensis ss. nativitatis,collegium sancti francisci xaverii,collegium philadelphiense,collegium philadelphiense,domus exercitiorum neo eboracensis
Joannes W. Corbett,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Georgius F. X. Griffith,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na
Romualdus M. Echeverria,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Gulielmus A. Boylan,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na
Joannes D. Butler,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium s. crucis,collegium s. crucis,residentia chapticonensis,residentia chapticonensis,residentia chapticonensis,residentia chapticonensis,residentia chapticonensis,residentia chapticonensis,residentia chapticonensis,collegium sancti francisci xaverii,collegium sancti francisci xaverii
Joannes H. Doody,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Joannes J. Regan,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Franciscus P. Donnelly,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis poughkeepsiensis,collegium washingtoniense,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium s. crucis,collegium bostoniense,collegium bostoniense,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis,domus probationis poughkeepsiensis
Carolus H. O'Lalor,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Gulielmus F. O'Hare,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium kingstonense,collegium kingstonense,collegium kingstonense,collegium kingstonense,collegium kingstonense,collegium kingstonense,collegium kingstonense,collegium s. crucis,domus philosophiae westoniensis,domus philosophiae westoniensis,domus philosophiae westoniensis
Franciscus A. Tondorf,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium georgiopolitanum,collegium maximum woodstockiense
Georgius J. Krim,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,schola alta buffalensis b. petri canisii,schola alta buffalensis b. petri canisii,schola alta buffalensis b. petri canisii,schola alta buffalensis b. petri canisii,schola alta buffalensis b. petri canisii,collegium brooklyniense,na,na,na,na,na
J. Vincentius O'Hare,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na
Gulielmus J. Bateman,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Gulielmus F. Bradley,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na
Augustinus E. Brogly,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na,na
Claudius Ramaz,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall,na,residentia neo eboracensis kohlmann hall,residentia neo eboracensis kohlmann hall
Emmanuel S. Reppert,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,domus probationis poughkeepsiensis,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense,collegium maximum woodstockiense
Ferdinandus J. Stengel,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Michael Vizard,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,collegium philadelphiense,na,na,na,na,collegium sancti francisci xaverii,collegium sancti francisci xaverii,collegium baltimorense,collegium baltimorense,collegium baltimorense,schola alta baltimorensis,na
Joannes F. Mctiernan,na,na,na,na,na,na,na,na,na,domus probationis fridericopolitana,domus probationis fridericopolitana,na,na,na,na,na,na,na,na,na,na,na
Dionysius P. O'Sullivan,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Antonius Brunner,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Georgius I. De La Motte,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Michael Martin,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Henricus J. De Laak,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Henricus Woods,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Georgius A. Rittmeyer,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Joannes Nestor,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Joannes B. Pittar Joannes C. Hart,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Henricus Gabriel,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Albertus Trivelli,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Joannes B. Moskopp,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Aloisius F. Heitkamp,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Antonius M. Navarro,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Daniel O'Sullivan,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Eduardus P. Coppinger,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na,na
Georgius R. Kister,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Gulielmus J. Harrington,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Hermannus J. Goller,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Jacobus Chamard,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Joannes J. Gudgeon,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Ludovicus G. Bashnal,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Michael J. Tiernan,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
Patritius Marnane,na,na,na,na,na,na,na,na,na,collegium maximum woodstockiense,collegium maximum woodstockiense,na,na,na,na,na,na,na,na,na,na,na
